tconst,titulo,ano,generos,nota,diretores
tt0004125,The House Next Door,1914,Drama,3.0,nm0641967
tt0004134,Hypocrites,1915,"Drama,Fantasy",6.4,
tt0004136,I kammerherrens klæder,1914,Comedy,,nm0937628
tt0004137,The Idler,1914,Drama,,nm0137407
tt0004138,The Idol of Paris,1914,"Crime,Drama",,nm0002061
tt0004141,Im Schützengraben,1914,,,nm0773303
tt0004155,The Indian Wars,1914,"Biography,Drama,History",7.0,nm0206619|nm0923603
tt0004156,L'infirmière,1914,,,nm0693516
tt0004162,La intrusa,1914,Drama,,nm0868114
tt0004163,The Invisible Power,1914,Drama,,nm0577654
tt0004167,Jane Eyre,1914,Drama,7.6,nm0269265
tt0004169,Jess,1914,Drama,,
tt0004175,John Barleycorn,1914,Drama,,nm0098376|nm0370746
tt0004179,Joseph in the Land of Egypt,1914,Drama,5.0,nm0601190
tt0004180,The Judge's Wife,1914,Drama,,nm0853336
tt0004181,Judith of Bethulia,1914,Drama,6.2,nm0000428
tt0004182,The Jungle,1914,Drama,6.9,nm0410271|nm0695466|nm0858501
tt0004188,The Key to Yesterday,1914,Drama,,nm0227020
tt0004195,Krates,1913,,,nm0159654
tt0004197,Den kulørte slavehandler,1914,,,nm0491503
tt0004199,The Borrowed Babies,1915,Comedy,4.0,nm0002031
tt0004201,The Ladies' War,1914,Comedy,,nm0636076
tt0004205,The Land of the Lost,1914,Drama,6.1,
tt0004207,The Last Egyptian,1914,"Adventure,Drama,Romance",5.2,nm0531759
tt0004208,The Last Volunteer,1914,"Drama,War",5.5,nm0002177
tt0004218,El león de la sierra,1914,,,nm0550220
tt0004223,The Life of General Villa,1914,"Action,Adventure,Biography",6.2,nm0127511
tt0004224,Life's Shop Window,1914,Drama,,nm0107543|nm0217557|nm0250053
tt0004230,The Line-Up at Police Headquarters,1914,Drama,,nm0063612
tt0004231,Linito quiere ser torero,1914,Comedy,,nm0345217|nm0813682
tt0004232,The Lion and the Mouse,1914,Drama,,nm0641967
tt0004234,The Little Angel of Canyon Creek,1914,"Drama,Western",,nm0836316
tt0004236,The Little Gray Lady,1914,Drama,,nm0694534
tt0004249,Lola,1914,Drama,4.1,nm0949648
tt0004256,The Loss of the Birkenhead,1914,Drama,,nm0002061
tt0004257,The Lost Paradise,1914,Drama,5.9,nm0205986
tt0004267,Love Never Dies,1916,Drama,,nm0941782
tt0004270,La lucha contra el destino,1914,,,nm0679170|nm0813682
tt0004271,Luchtkastelen,1914,Drama,,nm0159654
tt0004272,Lucille Love: The Girl of Mystery,1914,Action,6.8,nm0285643
tt0004275,The Lure,1914,Drama,6.0,nm0349785
tt0004291,The Man Who Could Not Lose,1914,Drama,6.8,nm0085877
tt0004292,The Man Who Disappeared,1914,Thriller,,nm0102643
tt0004294,The Man from Home,1914,Drama,6.6,nm0001124
tt0004295,The Man from Mexico,1914,Comedy,8.1,nm0373614
tt0004301,Man of the Hour,1914,Drama,,nm0869665
tt0004302,The Man on the Box,1914,"Comedy,Drama",,nm0002177
tt0004303,Manon Lescaut,1914,"Drama,Romance",4.8,nm0935488
tt0004304,The Marked Woman,1914,Drama,,nm0526226
tt0004306,Marta of the Lowlands,1914,Drama,7.8,nm0205986
tt0004307,Martin Eden,1914,Drama,5.5,nm0098376
tt0004312,The Master Cracksman,1914,"Crime,Drama",,nm0002503
tt0004313,The Master Key,1914,"Action,Adventure,Drama",5.8,nm0502752
tt0004314,The Master Mind,1914,"Crime,Drama",5.3,nm0002177
tt0004319,McVeagh of the South Seas,1914,Drama,4.7,nm0002503|nm0115450
tt0004321,Memories,1914,"Drama,Romance",,nm1250355
tt0004325,The Merchant of Venice,1914,Drama,5.9,nm0806565|nm0916665
tt0004328,Michael Strogoff,1914,Drama,5.4,nm0137407
tt0004335,A Million Bid,1914,"Drama,Romance",,nm0408433
tt0004336,The Million Dollar Mystery,1914,"Adventure,Mystery,Romance",5.8,nm0360617
tt0004337,The Million Dollar Robbery,1914,Drama,8.0,nm0085133
tt0004338,The Million,1914,"Comedy,Drama",,nm0373614
tt0004345,Misterio de dolor,1914,,4.3,nm0345217
tt0004351,The Monster and the Girl,1914,Drama,,nm0349785
tt0004362,Mr. Barnes of New York,1914,Drama,,nm0007221|nm0301252
tt0004365,Mrs. Wiggs of the Cabbage Patch,1914,Drama,,nm0258197
tt0004366,Los muertos hablan,1915,Drama,,nm0550220
tt0004368,The Murdoch Trial,1914,"Crime,Drama",,nm0872868
tt0004369,My Official Wife,1914,Drama,6.0,nm0949648
tt0004376,The Mystery of Edwin Drood,1914,Mystery,,nm0085133|nm0855912
tt0004377,Das Geheimnis von Chateau Richmond,1913,Mystery,,nm2542573
tt0004381,The Mystery of the Poison Pool,1914,Adventure,2.3,nm0330280
tt0004387,Down with Weapons,1914,"Drama,War",6.0,nm0390479
tt0004391,Neptune's Daughter,1914,Fantasy,5.5,nm0107543
tt0004398,The Next in Command,1914,Adventure,1.3,nm0205986
tt0004403,The Nightingale,1914,"Crime,Drama",6.7,nm0858501
tt0004409,Northern Lights,1914,Drama,,nm0507150
tt0004415,An Odyssey of the North,1914,Adventure,5.5,nm0098376
tt0004416,Officer 666,1914,Comedy,,nm0288616
tt0004431,One Wonderful Night,1914,"Crime,Drama",6.3,nm0130797
tt0004433,One of Our Girls,1914,Drama,,nm0373614
tt0004435,The Opened Shutters,1914,Drama,,nm0877783
tt0004437,The Ordeal,1914,War,,nm0205653
tt0004447,Over Niagara Falls,1914,"Crime,Drama",3.2,
tt0004450,Die Pagode,1917,"Action,Crime,Drama",,nm0624601
tt0004451,Paid in Full,1914,Drama,,nm0858501
tt0004452,The Painted World,1914,Drama,,nm0408433
tt0004456,Passionels Tagebuch,1916,,,nm0707778
tt0004457,The Patchwork Girl of Oz,1914,"Adventure,Comedy,Family",5.4,nm0531759
tt0004458,The Path Forbidden,1914,Drama,,nm0359687
tt0004459,The Pawn of Fortune,1914,Drama,,nm0923594|nm0923603
tt0004465,The Perils of Pauline,1914,"Action,Adventure,Drama",6.3,nm0309163|nm0533289
tt0004469,Pieces of Silver: A Story of Hearts and Souls,1914,Drama,,nm0309130
tt0004470,Pierre of the Plains,1914,Drama,,
tt0004473,The Pit,1914,Drama,5.0,nm0869665
tt0004483,The Port of Missing Men,1914,Drama,,nm0694534
tt0004488,The Price He Paid,1914,,,nm0569261
tt0004493,The Pride of Jennico,1914,Drama,,nm0205986
tt0004496,A Prince of India,1914,Drama,7.0,nm0923594|nm0923603
tt0004501,Prueba trágica,1914,,,nm0865601
tt0004502,Saints and Sorrows,1914,Drama,,nm0803705
tt0004504,The Pursuit of the Phantom,1914,Drama,,nm0098376
tt0004509,The Ragged Earl,1914,"Comedy,Drama",3.2,nm0137407
tt0004510,Rainey's African Hunt,1914,Documentary,,nm0707095
tt0004514,Ready Money,1914,"Comedy,Crime,Drama",,nm0002177
tt0004525,The Reign of Terror,1914,"Drama,History",5.8,nm0135052
tt0004532,Richelieu,1914,"Drama,History,Romance",4.6,nm0245385
tt0004535,The Ring and the Man,1914,Drama,,nm0694534
